qid,sentid,question,sentence text,label
2346,0,What are the 4 cardinal signs of inflammation according to Celsus?,"Tumor, calor, rubor, and dolor describe four cardinal signs of inflammation.",1
2346,1,What are the 4 cardinal signs of inflammation according to Celsus?,"Reference was paid to the cardinal signs of inflammation (pain, heat, redness, and swelling)",0
2346,2,What are the 4 cardinal signs of inflammation according to Celsus?,Inflammation is the body's response to injury or infection.,0
2346,3,What are the 4 cardinal signs of inflammation according to Celsus?,"As early as 2000 years ago, the Roman encyclopaedist Aulus Cornelius Celsus recognised four cardinal signs of this response-redness, heat, swelling and pain;",0
2346,4,What are the 4 cardinal signs of inflammation according to Celsus?," inflammation gives rise to clinical cardinal signs: rubor, calor, dolor, tumor",0
2346,5,What are the 4 cardinal signs of inflammation according to Celsus?,"The cardinal signs of inflammation dolor, calor, tumor and rubor",1
2346,6,What are the 4 cardinal signs of inflammation according to Celsus?,"The concept of the four cardinal signs of acute inflammation comes from antiquity as rubor et tumor cum calore et dolore, (redness and swelling with heat and pain)",0
2346,7,What are the 4 cardinal signs of inflammation according to Celsus?,"Inflammation is considered a nonspecific response to injury, characterized by exudation of serum into damaged tissue, and identified by the cardinal signs of rubor, calor, dolor, and tumor.",0
2346,8,What are the 4 cardinal signs of inflammation according to Celsus?,"four well-known cardinal signs of Celsus (rubor, calor, tumor, dolor)",1
2346,9,What are the 4 cardinal signs of inflammation according to Celsus?,"four cardinal signs of Celsus (redness, heat, swelling and pain).",1
2346,10,What are the 4 cardinal signs of inflammation according to Celsus?,Inflammation,0
2346,11,What are the 4 cardinal signs of inflammation according to Celsus?,"(the famous four cardinal signs of Celsus: pain, redness, swelling, heat)",0
2346,12,What are the 4 cardinal signs of inflammation according to Celsus?,"As early as 2000 years ago, the Roman encyclopaedist Aulus Cornelius Celsus recognised four cardinal signs of this response-redness, heat, swelling and pain; a fifth sign is loss of function.",0
2346,13,What are the 4 cardinal signs of inflammation according to Celsus?,[...,0
2346,14,What are the 4 cardinal signs of inflammation according to Celsus?,"It was Galen who added the disturbance of function (functio laesa) as the fifth cardinal sign of inflammation to the four well-known cardinal signs of Celsus (rubor, calor, tumor, dolor).",0
2346,15,What are the 4 cardinal signs of inflammation according to Celsus?,"The concept of the four cardinal signs of acute inflammation comes from antiquity as rubor et tumor cum calore et dolore, (redness and swelling with heat and pain) extended later by functio laesa (loss of function).",0
2346,16,What are the 4 cardinal signs of inflammation according to Celsus?,"The cardinal signs of inflammation dolor, calor, tumor and rubor are intrinsically associated with events including vasodilatation, edema and leukocyte trafficking into the site of inflammation.",0
2346,17,What are the 4 cardinal signs of inflammation according to Celsus?,"Tumor, calor, rubor, and dolor describe four cardinal signs of inflammation.",1
2346,18,What are the 4 cardinal signs of inflammation according to Celsus?,"The four cardinal signs of inflammation are redness, swelling, heat, and pain, phenomena explained at the cellular level.",0
2346,19,What are the 4 cardinal signs of inflammation according to Celsus?,inflammation is the body s response to injury or infection as early as 2000 years ago the roman encyclopaedist aulus cornelius celsus recognised four cardinal signs of this response redness heat swelling and pain a fifth sign is loss of function.,0
457,0,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab, a humanized monoclonal antibody that binds to and inactivates interleukin-5, has been shown to reduce asthma exacerbations in patients with severe eosinophilic asthma.",1
457,1,Which molecule is targeted by a monoclonal antibody Mepolizumab?," Patients were assigned to receive mepolizumab, a humanized monoclonal antibody against interleukin-5, which was administered as either a 75-mg intravenous dose or a 100-mg subcutaneous dose, or placebo every 4 weeks for 32 weeks.",0
457,2,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Among developing therapies, biologics designed to block certain pro-inflammatory cytokines, such as IL-5 (mepolizumab) and IL-13 (lebrikizumab), have a greater chance of being used in the clinic.",0
457,3,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Imatinib and mepolizumab, a humanized anti-interleukin 5 monoclonal antibody, may be useful in patients with eosinophilic myositis as part of a hypereosinophilic syndrome.",1
457,4,Which molecule is targeted by a monoclonal antibody Mepolizumab?, Recent results of the treatment of idiopathic hypereosinophilic syndrome (HES) with the anti-interleukin 5 monoclonal antibody mepolizumab showed its efficacy and manageable safety profile.,0
457,5,Which molecule is targeted by a monoclonal antibody Mepolizumab?,Individuals also received a segmental bronchoprovocation with allergen (SBP-Ag) 1 month before and after administering a single dose of mepolizumab (anti-IL-5 monoclonal antibody) to reduce airway EOS.,0
457,6,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"For example, patients with the hypereosinophilic syndrome have received mepolizumab, an anti-IL-5 monoclonal antibody, for as long as 6 years and have not developed any characteristic set of adverse events.",0
457,7,Which molecule is targeted by a monoclonal antibody Mepolizumab?,Efficacy of anti-interleukin-5 therapy with mepolizumab in patients with asthma: a meta-analysis of randomized placebo-controlled trials.,0
457,8,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Previous clinical trials have evaluated the efficacy and safety of mepolizumab, a monoclonal antibody against IL-5, in patients with asthma.",0
457,9,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"In this large (616 patients), double-blind, placebo-controlled, dose-ranging study of mepolizumab (a monoclonal antibody that blocks IL-5 binding to its receptor), patients were given placebo, 75-, 250- or 750-mg mepolizumab by intravenous infusion every 4 weeks for 1 year.",0
457,10,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"BACKGROUND: We examined levels of hyaluronan, a matrix glycosaminoglycan and versican, a matrix proteoglycan, in the sputum of asthmatics treated with mepolizumab (anti-IL-5 monoclonal antibody) versus placebo to evaluate the utility of these measurements as possible biomarkers of asthma control and airway remodeling.",0
457,11,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab is a humanized monoclonal antibody that blocks binding of the key cytokine implicated specifically in eosinophil maturation and survival, interleukin-5, to its receptor.",1
457,12,Which molecule is targeted by a monoclonal antibody Mepolizumab?,Early studies suggest that inhibition of eosinophilic airway inflammation with mepolizumab-a monoclonal antibody against interleukin 5-is associated with a reduced risk of exacerbations.,0
457,13,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"IL-5 antagonist therapies in current development include two monoclonal anti-IL-5 antibodies (mepolizumab, reslizumab), a monoclonal antibody directed at the IL-5 receptor (benralizumab), and anti-sense oligonucleotide therapy (TPI ASM8).",0
457,14,Which molecule is targeted by a monoclonal antibody Mepolizumab?,Two monoclonal antibodies have been designed to neutralize IL-5 (mepolizumab and reslizumab).,0
457,15,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"To date, two humanized monoclonal antibodies, mepolizumab and reslizumab, have been developed that bind to human IL-5.",0
457,16,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab (Bosatria(®), GlaxoSmithKline) is a biologic agent developed to treat asthma.",0
457,17,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"It represents a humanized monoclonal antibody of IgG1 κ type, which targets human IL-5 and thus prevents its interaction with the α-chain of the IL-5 receptor.",0
457,18,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"There has been a variable effect with the leukotriene receptor antagonist montelukast and promising early results with mepolizumab, a monoclonal antibody against interleukin-5.",0
